region,0-14,15-64,65
YUE,7202,40360,3079
SU,3228,20672,3040
LU,3914,18508,2682
ZHE,2572,16353,1901
LIAO,1941,15617,2655
YU,2683,12534,1629
E,1872,12756,1734
CHUAN,1925,12542,1514
HU,1665,11931,2175
JII ,2105,11277,1678
JING,1569,11146,1822
HEI,1208,10945,1647
XIANG,1988,10237,1537
MIN,2237,10261,942
WAN,1718,8738,1465
YU,1339,8091,1087
GUI,1786,7518,819
JIN ,1446,7651,683
JIN ,956,7533,1063
JI ,981,7243,1044
SHAAN,1284,6910,732
GAAN,1455,5881,802
MENG,999,5537,664
YUN,950,5222,651
XIN,931,4421,617
QIAN,952,4192,536
GAN,563,3354,503
QIONG,437,1741,156
NING,302,1658,167
QING,196,1001,128
ZANG,47,320,27
